appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
483970251;"US";"201715460093";"A ";2017-03-15;2017;"US201715460093";"15460093";"PI";"  ";0;"N";"N";"Y";2016-03-15;2016;904865166;2017-09-21;2017;483970252;"N";58579252;10528548;3;1;1;4
488956715;"US";"201715597126";"A ";2017-05-16;2017;"US201715597126";"15597126";"PI";"  ";336224711;"Y";"N";"Y";2010-02-10;2010;905165100;2018-01-25;2018;488956716;"N";44368417;8366302;7;11;2;6
488958288;"US";"201715722869";"A ";2017-10-02;2017;"US201715722869";"15722869";"PI";"  ";0;"N";"N";"Y";2012-09-28;2012;904548045;2018-01-25;2018;488958289;"N";50385068;9470143;195;332;1;5
488958438;"US";"201715718274";"A ";2017-09-28;2017;"US201715718274";"15718274";"PI";"  ";422772931;"Y";"N";"Y";2013-04-12;2013;441497408;2018-01-25;2018;488958439;"N";51689819;9641794;28;3;1;2
496336690;"US";"201715852797";"A ";2017-12-22;2017;"US201715852797";"15852797";"PI";"  ";0;"N";"N";"Y";2016-12-22;2016;493092222;2018-06-28;2018;496336691;"N";61867146;10951371;4;0;1;3
496552231;"EA";"201700405";"A ";2017-08-17;2017;"EA20170000405";"201700405";"PI";"  ";0;"N";"Y";"N";2017-08-17;2017;496552231;2018-06-29;2018;496552232;"Y";62684499;30572674;1;0;1;1
492506194;"TW";"106117049";"A ";2017-05-23;2017;"TW20170117049";"106117049";"PI";"  ";0;"N";"N";"Y";2016-07-01;2016;488255676;2018-01-16;2018;492506195;"N";60786341;10813588;3;0;1;2
492507915;"TW";"106112218";"A ";2017-04-12;2017;"TW20170112218";"106112218";"PI";"  ";0;"N";"N";"Y";2016-04-13;2016;904881581;2018-01-16;2018;492507916;"N";60038634;10562963;3;0;1;5
497159195;"US";"201715549459";"A ";2017-04-18;2017;"US201715549459";"15549459";"PI";"  ";903839288;"Y";"N";"Y";2017-04-18;2017;903839288;2018-07-17;2018;497159196;"Y";62837540;10903277;1;0;1;4
490713431;"US";"201715474972";"A ";2017-03-30;2017;"US201715474972";"15474972";"PI";"  ";0;"N";"N";"Y";2016-08-25;2016;904904769;2018-03-01;2018;490713432;"N";61243856;10859965;1;1;1;5
